station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,4,26,0,108,3.2,97,1016.75,-6.4,-6.4,,,,2016-04-26 00:00:00,2016-04-26 00:00:00
BRW,2016,4,26,1,68,3.5,99,1016.56,-6.2,-6.3,,,,2016-04-26 00:00:00,2016-04-26 01:00:00
BRW,2016,4,26,2,52,4.1,100,1016.46,-5.7,-5.6,,,,2016-04-26 00:00:00,2016-04-26 02:00:00
BRW,2016,4,26,3,48,4.9,100,1016.26,-5.4,-5.2,,,,2016-04-26 00:00:00,2016-04-26 03:00:00
BRW,2016,4,26,4,48,4.8,100,1015.88,-5.1,-4.9,,,,2016-04-26 00:00:00,2016-04-26 04:00:00
BRW,2016,4,26,5,52,5.1,100,1015.51,-4.8,-4.6,,,,2016-04-26 00:00:00,2016-04-26 05:00:00
BRW,2016,4,26,6,66,5.1,100,1015.46,-4.7,-4.5,,,,2016-04-26 00:00:00,2016-04-26 06:00:00
BRW,2016,4,26,7,67,4.8,100,1015.41,-4.8,-4.6,,,,2016-04-26 00:00:00,2016-04-26 07:00:00
BRW,2016,4,26,8,67,4.8,100,1015.23,-4.8,-4.6,,,,2016-04-26 00:00:00,2016-04-26 08:00:00
BRW,2016,4,26,9,70,4.8,100,1015.0,-4.7,-4.4,,,,2016-04-26 00:00:00,2016-04-26 09:00:00
BRW,2016,4,26,10,69,4.1,100,1014.81,-4.8,-4.4,,,,2016-04-26 00:00:00,2016-04-26 10:00:00
BRW,2016,4,26,11,68,3.8,99,1014.68,-4.8,-4.5,,,,2016-04-26 00:00:00,2016-04-26 11:00:00
BRW,2016,4,26,12,77,5.2,100,1014.47,-4.7,-4.4,,,,2016-04-26 00:00:00,2016-04-26 12:00:00
BRW,2016,4,26,13,81,5.4,100,1014.29,-4.7,-4.5,,,,2016-04-26 00:00:00,2016-04-26 13:00:00
BRW,2016,4,26,14,87,5.0,100,1014.1,-5.1,-4.9,,,,2016-04-26 00:00:00,2016-04-26 14:00:00
BRW,2016,4,26,15,78,3.6,97,1013.83,-5.1,-4.9,,,,2016-04-26 00:00:00,2016-04-26 15:00:00
BRW,2016,4,26,16,86,5.3,99,1013.69,-4.8,-4.7,,,,2016-04-26 00:00:00,2016-04-26 16:00:00
BRW,2016,4,26,17,94,5.6,100,1013.52,-4.9,-4.9,,,,2016-04-26 00:00:00,2016-04-26 17:00:00
BRW,2016,4,26,18,77,5.3,99,1013.54,-5.0,-5.0,,,,2016-04-26 00:00:00,2016-04-26 18:00:00
BRW,2016,4,26,19,73,4.8,100,1013.41,-4.9,-4.9,,,,2016-04-26 00:00:00,2016-04-26 19:00:00
BRW,2016,4,26,20,72,4.9,100,1013.31,-4.5,-4.5,,,,2016-04-26 00:00:00,2016-04-26 20:00:00
BRW,2016,4,26,21,84,6.5,99,1013.17,-4.4,-4.5,,,,2016-04-26 00:00:00,2016-04-26 21:00:00
BRW,2016,4,26,22,84,6.4,100,1013.07,-4.7,-4.8,,,,2016-04-26 00:00:00,2016-04-26 22:00:00
BRW,2016,4,26,23,87,6.3,100,1012.86,-4.3,-4.5,,,,2016-04-26 00:00:00,2016-04-26 23:00:00
