station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,3,27,0,344,2.9,100,1007.21,-17.9,-17.7,,,,2016-03-27 00:00:00,2016-03-27 00:00:00
BRW,2016,3,27,1,340,2.9,100,1007.4,-18.5,-17.8,,,,2016-03-27 00:00:00,2016-03-27 01:00:00
BRW,2016,3,27,2,337,3.1,100,1007.44,-18.7,-17.9,,,,2016-03-27 00:00:00,2016-03-27 02:00:00
BRW,2016,3,27,3,339,2.9,100,1007.51,-19.2,-18.1,,,,2016-03-27 00:00:00,2016-03-27 03:00:00
BRW,2016,3,27,4,337,3.4,100,1007.76,-19.3,-18.2,,,,2016-03-27 00:00:00,2016-03-27 04:00:00
BRW,2016,3,27,5,334,2.3,99,1007.89,-20.6,-19.1,,,,2016-03-27 00:00:00,2016-03-27 05:00:00
BRW,2016,3,27,6,338,4.0,100,1008.03,-21.4,-19.3,,,,2016-03-27 00:00:00,2016-03-27 06:00:00
BRW,2016,3,27,7,333,2.7,98,1008.22,-21.8,-20.0,,,,2016-03-27 00:00:00,2016-03-27 07:00:00
BRW,2016,3,27,8,330,2.3,100,1008.5,-22.2,-20.7,,,,2016-03-27 00:00:00,2016-03-27 08:00:00
BRW,2016,3,27,9,337,3.6,100,1008.83,-23.1,-21.0,,,,2016-03-27 00:00:00,2016-03-27 09:00:00
BRW,2016,3,27,10,338,4.1,100,1009.08,-23.4,-21.2,,,,2016-03-27 00:00:00,2016-03-27 10:00:00
BRW,2016,3,27,11,334,3.6,100,1009.35,-23.3,-21.5,,,,2016-03-27 00:00:00,2016-03-27 11:00:00
BRW,2016,3,27,12,340,3.5,100,1009.48,-23.0,-21.6,,,,2016-03-27 00:00:00,2016-03-27 12:00:00
BRW,2016,3,27,13,337,3.1,100,1009.65,-23.1,-21.6,,,,2016-03-27 00:00:00,2016-03-27 13:00:00
BRW,2016,3,27,14,342,2.7,100,1009.8,-23.2,-21.8,,,,2016-03-27 00:00:00,2016-03-27 14:00:00
BRW,2016,3,27,15,311,4.0,90,1009.91,-23.5,-22.1,,,,2016-03-27 00:00:00,2016-03-27 15:00:00
BRW,2016,3,27,16,272,2.8,99,1010.22,-23.5,-22.0,,,,2016-03-27 00:00:00,2016-03-27 16:00:00
BRW,2016,3,27,17,279,2.1,99,1010.22,-22.6,-21.6,,,,2016-03-27 00:00:00,2016-03-27 17:00:00
BRW,2016,3,27,18,295,2.2,99,1010.21,-23.1,-21.6,,,,2016-03-27 00:00:00,2016-03-27 18:00:00
BRW,2016,3,27,19,326,4.1,99,1010.38,-22.3,-22.0,,,,2016-03-27 00:00:00,2016-03-27 19:00:00
BRW,2016,3,27,20,305,4.1,96,1010.51,-21.6,-21.5,,,,2016-03-27 00:00:00,2016-03-27 20:00:00
BRW,2016,3,27,21,290,4.2,98,1010.69,-21.2,-21.4,,,,2016-03-27 00:00:00,2016-03-27 21:00:00
BRW,2016,3,27,22,304,4.2,96,1010.79,-21.3,-21.3,,,,2016-03-27 00:00:00,2016-03-27 22:00:00
BRW,2016,3,27,23,336,4.4,99,1010.64,-21.3,-21.1,,,,2016-03-27 00:00:00,2016-03-27 23:00:00
