station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,4,5,0,104,13.5,100,1015.2,-15.6,-15.5,,,,2016-04-05 00:00:00,2016-04-05 00:00:00
BRW,2016,4,5,1,102,13.2,100,1014.7,-15.5,-15.4,,,,2016-04-05 00:00:00,2016-04-05 01:00:00
BRW,2016,4,5,2,102,13.1,100,1014.45,-15.5,-15.3,,,,2016-04-05 00:00:00,2016-04-05 02:00:00
BRW,2016,4,5,3,101,13.1,100,1014.3,-15.4,-15.2,,,,2016-04-05 00:00:00,2016-04-05 03:00:00
BRW,2016,4,5,4,101,12.3,100,1014.32,-15.5,-15.4,,,,2016-04-05 00:00:00,2016-04-05 04:00:00
BRW,2016,4,5,5,97,11.5,100,1014.18,-16.3,-16.1,,,,2016-04-05 00:00:00,2016-04-05 05:00:00
BRW,2016,4,5,6,94,11.2,100,1013.95,-16.7,-16.4,,,,2016-04-05 00:00:00,2016-04-05 06:00:00
BRW,2016,4,5,7,94,11.5,100,1013.61,-16.8,-16.5,,,,2016-04-05 00:00:00,2016-04-05 07:00:00
BRW,2016,4,5,8,94,11.2,100,1013.52,-16.8,-16.6,,,,2016-04-05 00:00:00,2016-04-05 08:00:00
BRW,2016,4,5,9,95,11.4,100,1013.49,-16.9,-16.6,,,,2016-04-05 00:00:00,2016-04-05 09:00:00
BRW,2016,4,5,10,94,11.0,100,1013.12,-17.1,-16.8,,,,2016-04-05 00:00:00,2016-04-05 10:00:00
BRW,2016,4,5,11,93,10.6,100,1012.81,-17.4,-17.1,,,,2016-04-05 00:00:00,2016-04-05 11:00:00
BRW,2016,4,5,12,89,9.8,100,1012.57,-18.0,-17.6,,,,2016-04-05 00:00:00,2016-04-05 12:00:00
BRW,2016,4,5,13,87,9.8,100,1012.1,-18.2,-17.8,,,,2016-04-05 00:00:00,2016-04-05 13:00:00
BRW,2016,4,5,14,86,10.2,100,1011.78,-18.2,-17.8,,,,2016-04-05 00:00:00,2016-04-05 14:00:00
BRW,2016,4,5,15,85,10.6,100,1011.33,-17.9,-17.5,,,,2016-04-05 00:00:00,2016-04-05 15:00:00
BRW,2016,4,5,16,87,10.5,100,1011.08,-17.4,-17.1,,,,2016-04-05 00:00:00,2016-04-05 16:00:00
BRW,2016,4,5,17,87,10.4,100,1010.99,-16.9,-16.7,,,,2016-04-05 00:00:00,2016-04-05 17:00:00
BRW,2016,4,5,18,86,10.5,100,1010.99,-16.3,-16.2,,,,2016-04-05 00:00:00,2016-04-05 18:00:00
BRW,2016,4,5,19,86,10.7,100,1010.91,-15.5,-15.5,,,,2016-04-05 00:00:00,2016-04-05 19:00:00
BRW,2016,4,5,20,87,11.0,100,1010.85,-14.8,-14.8,,,,2016-04-05 00:00:00,2016-04-05 20:00:00
BRW,2016,4,5,21,89,11.7,100,1010.79,-14.3,-14.2,,,,2016-04-05 00:00:00,2016-04-05 21:00:00
BRW,2016,4,5,22,89,11.9,100,1010.52,-14.0,-13.8,,,,2016-04-05 00:00:00,2016-04-05 22:00:00
BRW,2016,4,5,23,91,11.9,100,1010.34,-13.6,-13.4,,,,2016-04-05 00:00:00,2016-04-05 23:00:00
