station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,4,24,0,81,5.4,100,1014.38,-7.2,-7.3,,,,2016-04-24 00:00:00,2016-04-24 00:00:00
BRW,2016,4,24,1,80,5.3,100,1014.53,-7.0,-7.0,,,,2016-04-24 00:00:00,2016-04-24 01:00:00
BRW,2016,4,24,2,76,5.0,100,1014.63,-6.8,-6.8,,,,2016-04-24 00:00:00,2016-04-24 02:00:00
BRW,2016,4,24,3,77,5.0,100,1014.76,-6.7,-6.7,,,,2016-04-24 00:00:00,2016-04-24 03:00:00
BRW,2016,4,24,4,75,4.0,100,1014.89,-6.7,-6.6,,,,2016-04-24 00:00:00,2016-04-24 04:00:00
BRW,2016,4,24,5,70,3.2,100,1015.04,-6.7,-6.6,,,,2016-04-24 00:00:00,2016-04-24 05:00:00
BRW,2016,4,24,6,68,2.8,100,1015.34,-6.8,-6.6,,,,2016-04-24 00:00:00,2016-04-24 06:00:00
BRW,2016,4,24,7,68,2.4,100,1015.62,-6.8,-6.6,,,,2016-04-24 00:00:00,2016-04-24 07:00:00
BRW,2016,4,24,8,69,2.6,100,1015.82,-6.8,-6.5,,,,2016-04-24 00:00:00,2016-04-24 08:00:00
BRW,2016,4,24,9,66,2.4,100,1015.87,-6.9,-6.5,,,,2016-04-24 00:00:00,2016-04-24 09:00:00
BRW,2016,4,24,10,71,2.3,100,1016.18,-6.8,-6.5,,,,2016-04-24 00:00:00,2016-04-24 10:00:00
BRW,2016,4,24,11,73,2.1,96,1016.23,-6.7,-6.3,,,,2016-04-24 00:00:00,2016-04-24 11:00:00
BRW,2016,4,24,12,60,2.5,100,1016.39,-6.5,-6.1,,,,2016-04-24 00:00:00,2016-04-24 12:00:00
BRW,2016,4,24,13,77,1.5,93,1016.59,-6.2,-5.9,,,,2016-04-24 00:00:00,2016-04-24 13:00:00
BRW,2016,4,24,14,80,1.2,91,1016.65,-6.2,-5.9,,,,2016-04-24 00:00:00,2016-04-24 14:00:00
BRW,2016,4,24,15,51,1.5,98,1016.89,-6.3,-5.9,,,,2016-04-24 00:00:00,2016-04-24 15:00:00
BRW,2016,4,24,16,59,1.0,95,1017.02,-6.3,-5.9,,,,2016-04-24 00:00:00,2016-04-24 16:00:00
BRW,2016,4,24,17,101,0.8,74,1017.07,-6.0,-5.8,,,,2016-04-24 00:00:00,2016-04-24 17:00:00
BRW,2016,4,24,18,34,0.2,63,1017.28,-6.0,-5.7,,,,2016-04-24 00:00:00,2016-04-24 18:00:00
BRW,2016,4,24,19,164,0.3,54,1017.43,-5.9,-5.6,,,,2016-04-24 00:00:00,2016-04-24 19:00:00
BRW,2016,4,24,20,186,0.6,89,1017.76,-5.5,-5.4,,,,2016-04-24 00:00:00,2016-04-24 20:00:00
BRW,2016,4,24,21,55,0.2,38,1017.94,-5.5,-5.3,,,,2016-04-24 00:00:00,2016-04-24 21:00:00
BRW,2016,4,24,22,59,0.8,95,1018.04,-5.5,-5.4,,,,2016-04-24 00:00:00,2016-04-24 22:00:00
BRW,2016,4,24,23,53,0.9,96,1018.01,-5.4,-5.2,,,,2016-04-24 00:00:00,2016-04-24 23:00:00
