station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,5,6,0,65,1.6,93,1013.04,-8.2,-8.3,,,,2016-05-06 00:00:00,2016-05-06 00:00:00
BRW,2016,5,6,1,67,1.3,92,1012.9,-8.0,-8.0,,,,2016-05-06 00:00:00,2016-05-06 01:00:00
BRW,2016,5,6,2,63,1.2,92,1012.65,-8.1,-8.1,,,,2016-05-06 00:00:00,2016-05-06 02:00:00
BRW,2016,5,6,3,70,1.6,96,1012.49,-8.4,-8.4,,,,2016-05-06 00:00:00,2016-05-06 03:00:00
BRW,2016,5,6,4,78,1.3,92,1012.29,-8.4,-8.3,,,,2016-05-06 00:00:00,2016-05-06 04:00:00
BRW,2016,5,6,5,99,1.3,87,1012.18,-8.6,-8.6,,,,2016-05-06 00:00:00,2016-05-06 05:00:00
BRW,2016,5,6,6,124,1.5,94,1012.13,-8.7,-8.7,,,,2016-05-06 00:00:00,2016-05-06 06:00:00
BRW,2016,5,6,7,160,1.4,97,1012.08,-9.1,-9.1,,,,2016-05-06 00:00:00,2016-05-06 07:00:00
BRW,2016,5,6,8,140,1.4,94,1011.87,-9.4,-9.3,,,,2016-05-06 00:00:00,2016-05-06 08:00:00
BRW,2016,5,6,9,141,1.3,88,1011.87,-9.8,-9.7,,,,2016-05-06 00:00:00,2016-05-06 09:00:00
BRW,2016,5,6,10,152,1.6,96,1011.77,-10.2,-10.1,,,,2016-05-06 00:00:00,2016-05-06 10:00:00
BRW,2016,5,6,11,107,1.3,93,1011.49,-10.5,-10.4,,,,2016-05-06 00:00:00,2016-05-06 11:00:00
BRW,2016,5,6,12,127,1.4,96,1011.28,-10.7,-10.6,,,,2016-05-06 00:00:00,2016-05-06 12:00:00
BRW,2016,5,6,13,140,1.6,98,1011.16,-10.9,-10.7,,,,2016-05-06 00:00:00,2016-05-06 13:00:00
BRW,2016,5,6,14,125,1.8,97,1011.17,-11.1,-10.8,,,,2016-05-06 00:00:00,2016-05-06 14:00:00
BRW,2016,5,6,15,112,1.4,95,1010.91,-10.9,-10.5,,,,2016-05-06 00:00:00,2016-05-06 15:00:00
BRW,2016,5,6,16,127,1.8,93,1010.84,-10.9,-10.5,,,,2016-05-06 00:00:00,2016-05-06 16:00:00
BRW,2016,5,6,17,142,2.2,99,1010.76,-10.9,-10.5,,,,2016-05-06 00:00:00,2016-05-06 17:00:00
BRW,2016,5,6,18,133,2.0,97,1010.44,-10.7,-10.2,,,,2016-05-06 00:00:00,2016-05-06 18:00:00
BRW,2016,5,6,19,128,2.1,98,1010.4,-10.4,-10.0,,,,2016-05-06 00:00:00,2016-05-06 19:00:00
BRW,2016,5,6,20,131,1.9,96,1010.31,-10.2,-9.6,,,,2016-05-06 00:00:00,2016-05-06 20:00:00
BRW,2016,5,6,21,109,1.6,96,1010.13,-10.1,-9.6,,,,2016-05-06 00:00:00,2016-05-06 21:00:00
BRW,2016,5,6,22,124,2.5,97,1010.1,-9.7,-9.2,,,,2016-05-06 00:00:00,2016-05-06 22:00:00
BRW,2016,5,6,23,114,2.2,97,1009.98,-9.9,-9.6,,,,2016-05-06 00:00:00,2016-05-06 23:00:00
