station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,5,21,0,70,3.9,99,1014.47,-2.7,-3.0,,,,2016-05-21 00:00:00,2016-05-21 00:00:00
BRW,2016,5,21,1,60,4.4,100,1014.12,-2.7,-3.1,,,,2016-05-21 00:00:00,2016-05-21 01:00:00
BRW,2016,5,21,2,67,3.8,99,1013.7,-2.9,-3.2,,,,2016-05-21 00:00:00,2016-05-21 02:00:00
BRW,2016,5,21,3,65,4.1,99,1013.35,-3.0,-3.2,,,,2016-05-21 00:00:00,2016-05-21 03:00:00
BRW,2016,5,21,4,54,4.7,100,1013.03,-3.1,-3.3,,,,2016-05-21 00:00:00,2016-05-21 04:00:00
BRW,2016,5,21,5,56,4.6,100,1012.76,-3.4,-3.6,,,,2016-05-21 00:00:00,2016-05-21 05:00:00
BRW,2016,5,21,6,59,4.8,100,1012.44,-3.9,-3.9,,,,2016-05-21 00:00:00,2016-05-21 06:00:00
BRW,2016,5,21,7,59,4.3,99,1012.28,-4.2,-4.2,,,,2016-05-21 00:00:00,2016-05-21 07:00:00
BRW,2016,5,21,8,55,3.9,100,1011.98,-4.7,-4.6,,,,2016-05-21 00:00:00,2016-05-21 08:00:00
BRW,2016,5,21,9,56,3.1,100,1011.73,-5.1,-4.9,,,,2016-05-21 00:00:00,2016-05-21 09:00:00
BRW,2016,5,21,10,45,2.7,99,1011.35,-5.6,-5.3,,,,2016-05-21 00:00:00,2016-05-21 10:00:00
BRW,2016,5,21,11,42,2.9,100,1011.05,-5.7,-5.5,,,,2016-05-21 00:00:00,2016-05-21 11:00:00
BRW,2016,5,21,12,45,3.4,100,1010.52,-5.7,-5.6,,,,2016-05-21 00:00:00,2016-05-21 12:00:00
BRW,2016,5,21,13,52,3.1,100,1010.27,-5.7,-5.6,,,,2016-05-21 00:00:00,2016-05-21 13:00:00
BRW,2016,5,21,14,59,3.8,100,1009.97,-5.5,-5.5,,,,2016-05-21 00:00:00,2016-05-21 14:00:00
BRW,2016,5,21,15,64,4.0,100,1009.64,-5.0,-5.1,,,,2016-05-21 00:00:00,2016-05-21 15:00:00
BRW,2016,5,21,16,74,4.3,100,1009.32,-4.8,-5.0,,,,2016-05-21 00:00:00,2016-05-21 16:00:00
BRW,2016,5,21,17,67,4.5,99,1008.72,-4.7,-5.0,,,,2016-05-21 00:00:00,2016-05-21 17:00:00
BRW,2016,5,21,18,60,4.7,99,1008.37,-4.3,-4.7,,,,2016-05-21 00:00:00,2016-05-21 18:00:00
BRW,2016,5,21,19,58,5.5,99,1008.08,-4.0,-4.6,,,,2016-05-21 00:00:00,2016-05-21 19:00:00
BRW,2016,5,21,20,63,6.2,100,1007.92,-3.6,-4.2,,,,2016-05-21 00:00:00,2016-05-21 20:00:00
BRW,2016,5,21,21,57,6.0,99,1007.58,-3.2,-3.8,,,,2016-05-21 00:00:00,2016-05-21 21:00:00
BRW,2016,5,21,22,49,5.7,100,1007.27,-2.8,-3.4,,,,2016-05-21 00:00:00,2016-05-21 22:00:00
BRW,2016,5,21,23,47,6.2,100,1006.99,-2.3,-3.0,,,,2016-05-21 00:00:00,2016-05-21 23:00:00
