station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,4,28,0,50,4.2,100,1011.73,-4.1,-4.1,,,,2016-04-28 00:00:00,2016-04-28 00:00:00
BRW,2016,4,28,1,53,4.3,100,1011.65,-4.1,-4.1,,,,2016-04-28 00:00:00,2016-04-28 01:00:00
BRW,2016,4,28,2,57,4.2,100,1011.58,-4.3,-4.3,,,,2016-04-28 00:00:00,2016-04-28 02:00:00
BRW,2016,4,28,3,49,3.9,100,1011.59,-4.6,-4.5,,,,2016-04-28 00:00:00,2016-04-28 03:00:00
BRW,2016,4,28,4,42,3.6,100,1011.54,-4.8,-4.7,,,,2016-04-28 00:00:00,2016-04-28 04:00:00
BRW,2016,4,28,5,41,3.2,100,1011.76,-4.9,-4.8,,,,2016-04-28 00:00:00,2016-04-28 05:00:00
BRW,2016,4,28,6,40,2.8,100,1011.9,-5.0,-4.9,,,,2016-04-28 00:00:00,2016-04-28 06:00:00
BRW,2016,4,28,7,29,2.7,100,1011.9,-5.1,-4.9,,,,2016-04-28 00:00:00,2016-04-28 07:00:00
BRW,2016,4,28,8,25,2.9,100,1011.78,-5.2,-5.0,,,,2016-04-28 00:00:00,2016-04-28 08:00:00
BRW,2016,4,28,9,24,3.0,100,1011.77,-5.4,-5.1,,,,2016-04-28 00:00:00,2016-04-28 09:00:00
BRW,2016,4,28,10,22,3.0,100,1011.79,-5.5,-5.2,,,,2016-04-28 00:00:00,2016-04-28 10:00:00
BRW,2016,4,28,11,22,3.0,100,1011.7,-5.5,-5.3,,,,2016-04-28 00:00:00,2016-04-28 11:00:00
BRW,2016,4,28,12,20,2.9,100,1011.66,-5.6,-5.3,,,,2016-04-28 00:00:00,2016-04-28 12:00:00
BRW,2016,4,28,13,14,2.6,100,1011.76,-5.7,-5.3,,,,2016-04-28 00:00:00,2016-04-28 13:00:00
BRW,2016,4,28,14,7,2.8,100,1011.7,-5.6,-5.3,,,,2016-04-28 00:00:00,2016-04-28 14:00:00
BRW,2016,4,28,15,12,2.8,100,1011.68,-5.5,-5.3,,,,2016-04-28 00:00:00,2016-04-28 15:00:00
BRW,2016,4,28,16,8,2.8,100,1011.78,-5.3,-5.1,,,,2016-04-28 00:00:00,2016-04-28 16:00:00
BRW,2016,4,28,17,7,3.1,100,1011.82,-4.9,-4.8,,,,2016-04-28 00:00:00,2016-04-28 17:00:00
BRW,2016,4,28,18,10,3.0,100,1011.79,-4.4,-4.3,,,,2016-04-28 00:00:00,2016-04-28 18:00:00
BRW,2016,4,28,19,19,3.5,100,1011.86,-3.9,-3.9,,,,2016-04-28 00:00:00,2016-04-28 19:00:00
BRW,2016,4,28,20,29,3.3,100,1011.97,-3.6,-3.6,,,,2016-04-28 00:00:00,2016-04-28 20:00:00
BRW,2016,4,28,21,42,3.0,100,1011.89,-3.1,-3.2,,,,2016-04-28 00:00:00,2016-04-28 21:00:00
BRW,2016,4,28,22,52,3.0,99,1011.75,-2.6,-2.6,,,,2016-04-28 00:00:00,2016-04-28 22:00:00
BRW,2016,4,28,23,45,3.1,100,1011.71,-2.4,-2.4,,,,2016-04-28 00:00:00,2016-04-28 23:00:00
