station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,5,19,0,97,8.6,99,1025.46,-1.8,-2.2,,,,2016-05-19 00:00:00,2016-05-19 00:00:00
BRW,2016,5,19,1,93,8.7,100,1025.11,-1.8,-2.2,,,,2016-05-19 00:00:00,2016-05-19 01:00:00
BRW,2016,5,19,2,95,8.0,100,1024.99,-1.8,-2.1,,,,2016-05-19 00:00:00,2016-05-19 02:00:00
BRW,2016,5,19,3,95,7.9,100,1024.83,-1.9,-2.2,,,,2016-05-19 00:00:00,2016-05-19 03:00:00
BRW,2016,5,19,4,92,8.2,100,1024.78,-2.1,-2.2,,,,2016-05-19 00:00:00,2016-05-19 04:00:00
BRW,2016,5,19,5,95,8.0,100,1024.65,-2.3,-2.4,,,,2016-05-19 00:00:00,2016-05-19 05:00:00
BRW,2016,5,19,6,94,7.5,100,1024.61,-2.5,-2.5,,,,2016-05-19 00:00:00,2016-05-19 06:00:00
BRW,2016,5,19,7,105,7.8,100,1024.43,-2.6,-2.5,,,,2016-05-19 00:00:00,2016-05-19 07:00:00
BRW,2016,5,19,8,107,7.4,100,1024.24,-2.9,-2.8,,,,2016-05-19 00:00:00,2016-05-19 08:00:00
BRW,2016,5,19,9,104,7.1,100,1024.13,-2.9,-2.7,,,,2016-05-19 00:00:00,2016-05-19 09:00:00
BRW,2016,5,19,10,107,7.0,99,1023.97,-2.8,-2.6,,,,2016-05-19 00:00:00,2016-05-19 10:00:00
BRW,2016,5,19,11,110,7.4,100,1023.75,-3.0,-2.9,,,,2016-05-19 00:00:00,2016-05-19 11:00:00
BRW,2016,5,19,12,107,7.2,100,1023.6,-3.0,-2.8,,,,2016-05-19 00:00:00,2016-05-19 12:00:00
BRW,2016,5,19,13,110,7.2,99,1023.49,-3.0,-2.9,,,,2016-05-19 00:00:00,2016-05-19 13:00:00
BRW,2016,5,19,14,109,6.7,100,1023.33,-2.8,-2.7,,,,2016-05-19 00:00:00,2016-05-19 14:00:00
BRW,2016,5,19,15,110,7.0,100,1023.06,-2.6,-2.5,,,,2016-05-19 00:00:00,2016-05-19 15:00:00
BRW,2016,5,19,16,112,7.0,100,1022.83,-2.3,-2.3,,,,2016-05-19 00:00:00,2016-05-19 16:00:00
BRW,2016,5,19,17,112,6.7,100,1022.55,-1.9,-2.1,,,,2016-05-19 00:00:00,2016-05-19 17:00:00
BRW,2016,5,19,18,112,6.6,100,1022.47,-1.5,-1.7,,,,2016-05-19 00:00:00,2016-05-19 18:00:00
BRW,2016,5,19,19,110,6.5,100,1022.56,-1.1,-1.5,,,,2016-05-19 00:00:00,2016-05-19 19:00:00
BRW,2016,5,19,20,114,6.7,100,1022.33,-0.8,-1.3,,,,2016-05-19 00:00:00,2016-05-19 20:00:00
BRW,2016,5,19,21,113,6.3,100,1022.24,-0.7,-1.1,,,,2016-05-19 00:00:00,2016-05-19 21:00:00
BRW,2016,5,19,22,106,6.2,100,1022.03,-0.5,-0.8,,,,2016-05-19 00:00:00,2016-05-19 22:00:00
BRW,2016,5,19,23,103,6.4,100,1021.73,-0.1,-0.5,,,,2016-05-19 00:00:00,2016-05-19 23:00:00
