station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,3,18,0,36,2.7,99,1039.59,-23.1,-22.1,,,,2016-03-18 00:00:00,2016-03-18 00:00:00
BRW,2016,3,18,1,21,2.4,99,1039.75,-23.2,-21.9,,,,2016-03-18 00:00:00,2016-03-18 01:00:00
BRW,2016,3,18,2,15,2.8,100,1040.18,-23.5,-22.0,,,,2016-03-18 00:00:00,2016-03-18 02:00:00
BRW,2016,3,18,3,21,3.7,100,1040.38,-24.0,-22.2,,,,2016-03-18 00:00:00,2016-03-18 03:00:00
BRW,2016,3,18,4,21,3.9,100,1040.63,-24.6,-22.7,,,,2016-03-18 00:00:00,2016-03-18 04:00:00
BRW,2016,3,18,5,12,4.0,100,1041.05,-25.5,-23.0,,,,2016-03-18 00:00:00,2016-03-18 05:00:00
BRW,2016,3,18,6,10,4.3,100,1041.37,-26.1,-23.4,,,,2016-03-18 00:00:00,2016-03-18 06:00:00
BRW,2016,3,18,7,5,3.8,100,1041.74,-25.9,-23.8,,,,2016-03-18 00:00:00,2016-03-18 07:00:00
BRW,2016,3,18,8,354,4.0,99,1042.03,-26.4,-24.1,,,,2016-03-18 00:00:00,2016-03-18 08:00:00
BRW,2016,3,18,9,351,4.6,100,1042.53,-26.9,-24.5,,,,2016-03-18 00:00:00,2016-03-18 09:00:00
BRW,2016,3,18,10,358,4.5,100,1042.88,-27.2,-25.1,,,,2016-03-18 00:00:00,2016-03-18 10:00:00
BRW,2016,3,18,11,9,4.5,100,1043.06,-27.6,-25.3,,,,2016-03-18 00:00:00,2016-03-18 11:00:00
BRW,2016,3,18,12,7,4.8,100,1043.31,-27.5,-25.5,,,,2016-03-18 00:00:00,2016-03-18 12:00:00
BRW,2016,3,18,13,6,4.9,100,1043.66,-27.5,-25.6,,,,2016-03-18 00:00:00,2016-03-18 13:00:00
BRW,2016,3,18,14,359,4.5,100,1043.79,-27.5,-25.9,,,,2016-03-18 00:00:00,2016-03-18 14:00:00
BRW,2016,3,18,15,354,4.2,100,1043.95,-27.7,-26.2,,,,2016-03-18 00:00:00,2016-03-18 15:00:00
BRW,2016,3,18,16,355,4.8,100,1044.06,-27.5,-26.3,,,,2016-03-18 00:00:00,2016-03-18 16:00:00
BRW,2016,3,18,17,360,4.8,100,1044.37,-27.4,-26.2,,,,2016-03-18 00:00:00,2016-03-18 17:00:00
BRW,2016,3,18,18,3,4.3,100,1044.8,-26.8,-25.7,,,,2016-03-18 00:00:00,2016-03-18 18:00:00
BRW,2016,3,18,19,18,4.6,100,1044.89,-26.1,-25.1,,,,2016-03-18 00:00:00,2016-03-18 19:00:00
BRW,2016,3,18,20,18,4.8,100,1045.1,-25.0,-24.3,,,,2016-03-18 00:00:00,2016-03-18 20:00:00
BRW,2016,3,18,21,19,5.2,100,1045.18,-24.3,-23.8,,,,2016-03-18 00:00:00,2016-03-18 21:00:00
BRW,2016,3,18,22,19,5.5,100,1045.09,-24.0,-23.6,,,,2016-03-18 00:00:00,2016-03-18 22:00:00
BRW,2016,3,18,23,21,5.6,100,1045.12,-23.7,-23.3,,,,2016-03-18 00:00:00,2016-03-18 23:00:00
