station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,3,23,0,71,9.0,100,1018.61,-16.8,-16.4,,,,2016-03-23 00:00:00,2016-03-23 00:00:00
BRW,2016,3,23,1,70,9.3,100,1018.11,-17.1,-16.6,,,,2016-03-23 00:00:00,2016-03-23 01:00:00
BRW,2016,3,23,2,67,8.2,100,1017.78,-17.4,-16.9,,,,2016-03-23 00:00:00,2016-03-23 02:00:00
BRW,2016,3,23,3,66,7.9,100,1017.62,-17.6,-17.3,,,,2016-03-23 00:00:00,2016-03-23 03:00:00
BRW,2016,3,23,4,64,8.1,100,1017.18,-17.7,-17.4,,,,2016-03-23 00:00:00,2016-03-23 04:00:00
BRW,2016,3,23,5,63,8.3,100,1016.71,-17.8,-17.6,,,,2016-03-23 00:00:00,2016-03-23 05:00:00
BRW,2016,3,23,6,63,8.7,100,1016.2,-18.1,-17.8,,,,2016-03-23 00:00:00,2016-03-23 06:00:00
BRW,2016,3,23,7,63,8.9,100,1015.81,-18.2,-18.0,,,,2016-03-23 00:00:00,2016-03-23 07:00:00
BRW,2016,3,23,8,63,8.8,100,1015.39,-18.0,-17.8,,,,2016-03-23 00:00:00,2016-03-23 08:00:00
BRW,2016,3,23,9,63,8.6,100,1014.83,-18.0,-17.8,,,,2016-03-23 00:00:00,2016-03-23 09:00:00
BRW,2016,3,23,10,64,8.9,100,1014.33,-18.0,-17.8,,,,2016-03-23 00:00:00,2016-03-23 10:00:00
BRW,2016,3,23,11,66,8.8,100,1013.88,-18.0,-17.9,,,,2016-03-23 00:00:00,2016-03-23 11:00:00
BRW,2016,3,23,12,65,8.5,100,1013.38,-18.2,-18.1,,,,2016-03-23 00:00:00,2016-03-23 12:00:00
BRW,2016,3,23,13,69,7.9,100,1012.97,-18.3,-18.2,,,,2016-03-23 00:00:00,2016-03-23 13:00:00
BRW,2016,3,23,14,69,7.4,100,1012.52,-18.4,-18.3,,,,2016-03-23 00:00:00,2016-03-23 14:00:00
BRW,2016,3,23,15,68,6.8,100,1012.27,-18.5,-18.4,,,,2016-03-23 00:00:00,2016-03-23 15:00:00
BRW,2016,3,23,16,68,6.8,100,1011.89,-18.5,-18.4,,,,2016-03-23 00:00:00,2016-03-23 16:00:00
BRW,2016,3,23,17,69,6.8,100,1011.37,-18.5,-18.4,,,,2016-03-23 00:00:00,2016-03-23 17:00:00
BRW,2016,3,23,18,71,6.1,100,1010.9,-18.5,-18.5,,,,2016-03-23 00:00:00,2016-03-23 18:00:00
BRW,2016,3,23,19,71,5.4,100,1010.71,-18.4,-18.4,,,,2016-03-23 00:00:00,2016-03-23 19:00:00
BRW,2016,3,23,20,67,4.9,100,1010.42,-18.3,-18.4,,,,2016-03-23 00:00:00,2016-03-23 20:00:00
BRW,2016,3,23,21,70,4.4,100,1010.14,-18.2,-18.3,,,,2016-03-23 00:00:00,2016-03-23 21:00:00
BRW,2016,3,23,22,71,4.3,100,1009.86,-18.1,-18.1,,,,2016-03-23 00:00:00,2016-03-23 22:00:00
BRW,2016,3,23,23,75,3.5,100,1009.48,-18.0,-18.0,,,,2016-03-23 00:00:00,2016-03-23 23:00:00
