station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,4,19,0,57,8.0,100,1024.56,-14.7,-15.0,,,,2016-04-19 00:00:00,2016-04-19 00:00:00
BRW,2016,4,19,1,60,7.6,100,1024.6,-14.4,-14.8,,,,2016-04-19 00:00:00,2016-04-19 01:00:00
BRW,2016,4,19,2,59,7.5,100,1024.64,-14.8,-14.8,,,,2016-04-19 00:00:00,2016-04-19 02:00:00
BRW,2016,4,19,3,59,7.1,100,1024.69,-14.9,-14.8,,,,2016-04-19 00:00:00,2016-04-19 03:00:00
BRW,2016,4,19,4,66,6.5,100,1024.73,-15.4,-15.2,,,,2016-04-19 00:00:00,2016-04-19 04:00:00
BRW,2016,4,19,5,66,7.3,100,1024.79,-15.9,-15.7,,,,2016-04-19 00:00:00,2016-04-19 05:00:00
BRW,2016,4,19,6,65,6.4,100,1024.98,-16.3,-16.1,,,,2016-04-19 00:00:00,2016-04-19 06:00:00
BRW,2016,4,19,7,66,5.2,100,1025.07,-16.6,-16.4,,,,2016-04-19 00:00:00,2016-04-19 07:00:00
BRW,2016,4,19,8,64,6.1,100,1025.14,-15.9,-15.7,,,,2016-04-19 00:00:00,2016-04-19 08:00:00
BRW,2016,4,19,9,67,6.3,100,1025.27,-15.3,-15.1,,,,2016-04-19 00:00:00,2016-04-19 09:00:00
BRW,2016,4,19,10,67,6.2,100,1025.3,-15.0,-14.8,,,,2016-04-19 00:00:00,2016-04-19 10:00:00
BRW,2016,4,19,11,66,6.0,100,1025.19,-14.9,-14.6,,,,2016-04-19 00:00:00,2016-04-19 11:00:00
BRW,2016,4,19,12,64,6.1,100,1025.23,-14.7,-14.5,,,,2016-04-19 00:00:00,2016-04-19 12:00:00
BRW,2016,4,19,13,67,6.0,100,1025.27,-14.6,-14.3,,,,2016-04-19 00:00:00,2016-04-19 13:00:00
BRW,2016,4,19,14,70,6.3,100,1025.36,-14.3,-14.1,,,,2016-04-19 00:00:00,2016-04-19 14:00:00
BRW,2016,4,19,15,70,6.9,100,1025.15,-13.8,-13.7,,,,2016-04-19 00:00:00,2016-04-19 15:00:00
BRW,2016,4,19,16,73,6.7,100,1024.97,-13.3,-13.2,,,,2016-04-19 00:00:00,2016-04-19 16:00:00
BRW,2016,4,19,17,79,7.7,100,1025.05,-12.7,-12.6,,,,2016-04-19 00:00:00,2016-04-19 17:00:00
BRW,2016,4,19,18,81,8.2,100,1025.12,-12.3,-12.4,,,,2016-04-19 00:00:00,2016-04-19 18:00:00
BRW,2016,4,19,19,84,8.4,100,1025.22,-12.1,-12.2,,,,2016-04-19 00:00:00,2016-04-19 19:00:00
BRW,2016,4,19,20,83,9.1,100,1025.41,-12.1,-12.2,,,,2016-04-19 00:00:00,2016-04-19 20:00:00
BRW,2016,4,19,21,89,9.4,100,1025.53,-11.7,-11.8,,,,2016-04-19 00:00:00,2016-04-19 21:00:00
BRW,2016,4,19,22,90,9.6,100,1025.5,-11.3,-11.4,,,,2016-04-19 00:00:00,2016-04-19 22:00:00
BRW,2016,4,19,23,84,8.9,100,1025.54,-10.8,-10.9,,,,2016-04-19 00:00:00,2016-04-19 23:00:00
