station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,3,15,0,359,6.3,100,1021.67,-20.6,-20.6,,,,2016-03-15 00:00:00,2016-03-15 00:00:00
BRW,2016,3,15,1,2,5.8,100,1021.93,-20.5,-20.4,,,,2016-03-15 00:00:00,2016-03-15 01:00:00
BRW,2016,3,15,2,360,5.1,100,1022.12,-20.6,-20.2,,,,2016-03-15 00:00:00,2016-03-15 02:00:00
BRW,2016,3,15,3,1,4.9,100,1022.37,-20.6,-20.1,,,,2016-03-15 00:00:00,2016-03-15 03:00:00
BRW,2016,3,15,4,358,5.1,100,1022.78,-20.9,-20.2,,,,2016-03-15 00:00:00,2016-03-15 04:00:00
BRW,2016,3,15,5,2,5.2,100,1023.03,-21.5,-20.8,,,,2016-03-15 00:00:00,2016-03-15 05:00:00
BRW,2016,3,15,6,357,4.6,100,1023.31,-21.8,-21.1,,,,2016-03-15 00:00:00,2016-03-15 06:00:00
BRW,2016,3,15,7,357,4.7,100,1023.57,-21.8,-21.1,,,,2016-03-15 00:00:00,2016-03-15 07:00:00
BRW,2016,3,15,8,356,5.0,100,1023.83,-22.1,-21.4,,,,2016-03-15 00:00:00,2016-03-15 08:00:00
BRW,2016,3,15,9,358,5.0,100,1024.11,-22.9,-21.9,,,,2016-03-15 00:00:00,2016-03-15 09:00:00
BRW,2016,3,15,10,359,4.1,100,1024.51,-23.6,-22.4,,,,2016-03-15 00:00:00,2016-03-15 10:00:00
BRW,2016,3,15,11,355,4.4,100,1024.93,-23.9,-22.5,,,,2016-03-15 00:00:00,2016-03-15 11:00:00
BRW,2016,3,15,12,355,3.9,100,1025.19,-23.8,-22.4,,,,2016-03-15 00:00:00,2016-03-15 12:00:00
BRW,2016,3,15,13,346,3.5,99,1025.47,-23.6,-22.3,,,,2016-03-15 00:00:00,2016-03-15 13:00:00
BRW,2016,3,15,14,336,3.3,100,1025.96,-23.6,-22.6,,,,2016-03-15 00:00:00,2016-03-15 14:00:00
BRW,2016,3,15,15,335,3.0,100,1026.21,-23.6,-22.4,,,,2016-03-15 00:00:00,2016-03-15 15:00:00
BRW,2016,3,15,16,324,3.2,100,1026.52,-24.4,-22.6,,,,2016-03-15 00:00:00,2016-03-15 16:00:00
BRW,2016,3,15,17,318,3.1,100,1026.82,-24.4,-22.8,,,,2016-03-15 00:00:00,2016-03-15 17:00:00
BRW,2016,3,15,18,308,2.4,100,1027.06,-23.9,-22.5,,,,2016-03-15 00:00:00,2016-03-15 18:00:00
BRW,2016,3,15,19,304,2.4,100,1027.37,-22.9,-21.6,,,,2016-03-15 00:00:00,2016-03-15 19:00:00
BRW,2016,3,15,20,283,2.2,100,1027.59,-22.0,-21.1,,,,2016-03-15 00:00:00,2016-03-15 20:00:00
BRW,2016,3,15,21,292,2.8,100,1027.82,-21.1,-20.3,,,,2016-03-15 00:00:00,2016-03-15 21:00:00
BRW,2016,3,15,22,264,1.8,97,1028.1,-21.1,-19.9,,,,2016-03-15 00:00:00,2016-03-15 22:00:00
BRW,2016,3,15,23,275,1.8,98,1028.3,-20.2,-19.3,,,,2016-03-15 00:00:00,2016-03-15 23:00:00
