station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,5,24,0,97,4.0,100,1011.86,0.8,0.3,,,,2016-05-24 00:00:00,2016-05-24 00:00:00
BRW,2016,5,24,1,95,4.2,100,1011.7,0.8,0.4,,,,2016-05-24 00:00:00,2016-05-24 01:00:00
BRW,2016,5,24,2,88,5.1,100,1011.58,0.6,0.3,,,,2016-05-24 00:00:00,2016-05-24 02:00:00
BRW,2016,5,24,3,94,5.2,100,1011.63,0.6,0.4,,,,2016-05-24 00:00:00,2016-05-24 03:00:00
BRW,2016,5,24,4,94,5.4,100,1011.52,0.4,0.2,,,,2016-05-24 00:00:00,2016-05-24 04:00:00
BRW,2016,5,24,5,95,5.8,100,1011.47,-1.0,-1.0,,,,2016-05-24 00:00:00,2016-05-24 05:00:00
BRW,2016,5,24,6,97,6.2,100,1011.52,-1.6,-1.6,,,,2016-05-24 00:00:00,2016-05-24 06:00:00
BRW,2016,5,24,7,100,6.3,100,1011.57,-1.1,-1.1,,,,2016-05-24 00:00:00,2016-05-24 07:00:00
BRW,2016,5,24,8,104,6.6,100,1011.66,-1.4,-1.4,,,,2016-05-24 00:00:00,2016-05-24 08:00:00
BRW,2016,5,24,9,105,6.4,100,1011.85,-1.8,-1.8,,,,2016-05-24 00:00:00,2016-05-24 09:00:00
BRW,2016,5,24,10,105,6.5,100,1011.67,-1.2,-1.2,,,,2016-05-24 00:00:00,2016-05-24 10:00:00
BRW,2016,5,24,11,105,6.4,100,1011.55,-0.9,-0.8,,,,2016-05-24 00:00:00,2016-05-24 11:00:00
BRW,2016,5,24,12,108,6.6,100,1011.57,-0.7,-0.6,,,,2016-05-24 00:00:00,2016-05-24 12:00:00
BRW,2016,5,24,13,113,6.6,100,1011.67,-0.4,-0.3,,,,2016-05-24 00:00:00,2016-05-24 13:00:00
BRW,2016,5,24,14,110,7.1,100,1011.56,-0.5,-0.4,,,,2016-05-24 00:00:00,2016-05-24 14:00:00
BRW,2016,5,24,15,118,6.7,100,1011.78,-0.5,-0.4,,,,2016-05-24 00:00:00,2016-05-24 15:00:00
BRW,2016,5,24,16,127,6.0,100,1011.97,-0.2,-0.2,,,,2016-05-24 00:00:00,2016-05-24 16:00:00
BRW,2016,5,24,17,124,5.5,100,1012.02,0.1,0.1,,,,2016-05-24 00:00:00,2016-05-24 17:00:00
BRW,2016,5,24,18,112,5.1,100,1011.96,0.4,0.2,,,,2016-05-24 00:00:00,2016-05-24 18:00:00
BRW,2016,5,24,19,110,5.7,100,1012.16,0.6,0.4,,,,2016-05-24 00:00:00,2016-05-24 19:00:00
BRW,2016,5,24,20,110,5.4,100,1012.41,0.7,0.5,,,,2016-05-24 00:00:00,2016-05-24 20:00:00
BRW,2016,5,24,21,107,5.4,100,1012.46,0.9,0.6,,,,2016-05-24 00:00:00,2016-05-24 21:00:00
BRW,2016,5,24,22,104,5.0,100,1012.57,0.9,0.7,,,,2016-05-24 00:00:00,2016-05-24 22:00:00
BRW,2016,5,24,23,102,5.3,100,1012.59,0.8,0.5,,,,2016-05-24 00:00:00,2016-05-24 23:00:00
