station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,4,8,0,87,13.7,100,1020.42,-12.5,-12.1,,,,2016-04-08 00:00:00,2016-04-08 00:00:00
BRW,2016,4,8,1,85,13.4,100,1020.23,-12.4,-12.2,,,,2016-04-08 00:00:00,2016-04-08 01:00:00
BRW,2016,4,8,2,88,13.3,100,1020.2,-12.4,-12.0,,,,2016-04-08 00:00:00,2016-04-08 02:00:00
BRW,2016,4,8,3,84,11.5,100,1020.12,-12.4,-12.0,,,,2016-04-08 00:00:00,2016-04-08 03:00:00
BRW,2016,4,8,4,80,10.7,100,1020.08,-12.8,-12.4,,,,2016-04-08 00:00:00,2016-04-08 04:00:00
BRW,2016,4,8,5,79,10.3,100,1020.21,-13.7,-13.0,,,,2016-04-08 00:00:00,2016-04-08 05:00:00
BRW,2016,4,8,6,75,9.9,100,1020.23,-14.5,-13.9,,,,2016-04-08 00:00:00,2016-04-08 06:00:00
BRW,2016,4,8,7,73,8.9,100,1020.18,-15.3,-14.6,,,,2016-04-08 00:00:00,2016-04-08 07:00:00
BRW,2016,4,8,8,70,9.7,100,1019.9,-15.7,-15.1,,,,2016-04-08 00:00:00,2016-04-08 08:00:00
BRW,2016,4,8,9,69,9.3,100,1019.81,-16.2,-15.5,,,,2016-04-08 00:00:00,2016-04-08 09:00:00
BRW,2016,4,8,10,70,8.8,100,1019.75,-16.7,-16.0,,,,2016-04-08 00:00:00,2016-04-08 10:00:00
BRW,2016,4,8,11,69,9.1,100,1019.45,-16.9,-16.2,,,,2016-04-08 00:00:00,2016-04-08 11:00:00
BRW,2016,4,8,12,66,9.4,100,1019.22,-17.0,-16.3,,,,2016-04-08 00:00:00,2016-04-08 12:00:00
BRW,2016,4,8,13,66,10.1,100,1018.82,-17.1,-16.4,,,,2016-04-08 00:00:00,2016-04-08 13:00:00
BRW,2016,4,8,14,66,9.7,100,1018.63,-17.2,-16.6,,,,2016-04-08 00:00:00,2016-04-08 14:00:00
BRW,2016,4,8,15,67,9.6,100,1018.63,-17.0,-16.4,,,,2016-04-08 00:00:00,2016-04-08 15:00:00
BRW,2016,4,8,16,67,9.4,100,1018.66,-16.5,-16.1,,,,2016-04-08 00:00:00,2016-04-08 16:00:00
BRW,2016,4,8,17,68,9.8,100,1018.59,-15.7,-15.4,,,,2016-04-08 00:00:00,2016-04-08 17:00:00
BRW,2016,4,8,18,68,10.7,100,1018.61,-15.0,-14.9,,,,2016-04-08 00:00:00,2016-04-08 18:00:00
BRW,2016,4,8,19,68,11.5,100,1018.55,-14.4,-14.3,,,,2016-04-08 00:00:00,2016-04-08 19:00:00
BRW,2016,4,8,20,69,12.5,100,1018.61,-13.9,-13.9,,,,2016-04-08 00:00:00,2016-04-08 20:00:00
BRW,2016,4,8,21,70,12.6,100,1018.57,-13.4,-13.3,,,,2016-04-08 00:00:00,2016-04-08 21:00:00
BRW,2016,4,8,22,69,12.5,100,1018.39,-13.2,-13.1,,,,2016-04-08 00:00:00,2016-04-08 22:00:00
BRW,2016,4,8,23,71,12.5,100,1018.29,-13.0,-12.9,,,,2016-04-08 00:00:00,2016-04-08 23:00:00
