station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,4,30,0,100,2.3,100,1012.44,-2.3,-2.2,,,,2016-04-30 00:00:00,2016-04-30 00:00:00
BRW,2016,4,30,1,82,2.8,99,1012.43,-2.3,-2.3,,,,2016-04-30 00:00:00,2016-04-30 01:00:00
BRW,2016,4,30,2,100,3.5,99,1012.37,-2.3,-2.2,,,,2016-04-30 00:00:00,2016-04-30 02:00:00
BRW,2016,4,30,3,72,3.1,100,1012.5,-2.2,-2.2,,,,2016-04-30 00:00:00,2016-04-30 03:00:00
BRW,2016,4,30,4,66,3.5,100,1012.64,-2.3,-2.2,,,,2016-04-30 00:00:00,2016-04-30 04:00:00
BRW,2016,4,30,5,70,4.5,100,1012.61,-2.3,-2.2,,,,2016-04-30 00:00:00,2016-04-30 05:00:00
BRW,2016,4,30,6,74,4.4,100,1012.7,-2.4,-2.2,,,,2016-04-30 00:00:00,2016-04-30 06:00:00
BRW,2016,4,30,7,78,4.0,100,1012.8,-2.4,-2.3,,,,2016-04-30 00:00:00,2016-04-30 07:00:00
BRW,2016,4,30,8,80,3.8,100,1012.84,-2.6,-2.4,,,,2016-04-30 00:00:00,2016-04-30 08:00:00
BRW,2016,4,30,9,72,3.3,100,1012.77,-3.0,-2.6,,,,2016-04-30 00:00:00,2016-04-30 09:00:00
BRW,2016,4,30,10,69,3.3,100,1012.76,-3.3,-2.8,,,,2016-04-30 00:00:00,2016-04-30 10:00:00
BRW,2016,4,30,11,78,3.5,100,1012.78,-3.4,-3.0,,,,2016-04-30 00:00:00,2016-04-30 11:00:00
BRW,2016,4,30,12,86,3.8,100,1012.68,-2.8,-2.5,,,,2016-04-30 00:00:00,2016-04-30 12:00:00
BRW,2016,4,30,13,94,4.4,100,1012.71,-2.8,-2.5,,,,2016-04-30 00:00:00,2016-04-30 13:00:00
BRW,2016,4,30,14,89,4.7,100,1012.62,-2.9,-2.7,,,,2016-04-30 00:00:00,2016-04-30 14:00:00
BRW,2016,4,30,15,95,4.6,100,1012.51,-3.1,-3.0,,,,2016-04-30 00:00:00,2016-04-30 15:00:00
BRW,2016,4,30,16,94,4.3,100,1012.45,-3.1,-3.0,,,,2016-04-30 00:00:00,2016-04-30 16:00:00
BRW,2016,4,30,17,97,4.4,100,1012.38,-2.9,-2.9,,,,2016-04-30 00:00:00,2016-04-30 17:00:00
BRW,2016,4,30,18,94,4.1,100,1012.21,-2.7,-2.7,,,,2016-04-30 00:00:00,2016-04-30 18:00:00
BRW,2016,4,30,19,89,4.1,100,1012.12,-2.7,-2.7,,,,2016-04-30 00:00:00,2016-04-30 19:00:00
BRW,2016,4,30,20,78,4.0,99,1011.9,-2.5,-2.6,,,,2016-04-30 00:00:00,2016-04-30 20:00:00
BRW,2016,4,30,21,76,4.0,100,1011.62,-2.2,-2.5,,,,2016-04-30 00:00:00,2016-04-30 21:00:00
BRW,2016,4,30,22,80,3.4,100,1011.43,-2.2,-2.4,,,,2016-04-30 00:00:00,2016-04-30 22:00:00
BRW,2016,4,30,23,79,3.3,100,1011.09,-2.0,-2.2,,,,2016-04-30 00:00:00,2016-04-30 23:00:00
