station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,3,28,0,339,4.3,99,1010.74,-21.1,-21.0,,,,2016-03-28 00:00:00,2016-03-28 00:00:00
BRW,2016,3,28,1,285,3.5,77,1010.92,-22.0,-21.0,,,,2016-03-28 00:00:00,2016-03-28 01:00:00
BRW,2016,3,28,2,234,4.1,99,1010.95,-22.5,-20.7,,,,2016-03-28 00:00:00,2016-03-28 02:00:00
BRW,2016,3,28,3,217,2.4,98,1011.02,-24.3,-21.7,,,,2016-03-28 00:00:00,2016-03-28 03:00:00
BRW,2016,3,28,4,214,2.1,99,1011.17,-25.7,-22.0,,,,2016-03-28 00:00:00,2016-03-28 04:00:00
BRW,2016,3,28,5,213,2.0,100,1011.23,-26.3,-22.0,,,,2016-03-28 00:00:00,2016-03-28 05:00:00
BRW,2016,3,28,6,215,2.0,100,1011.4,-26.4,-21.9,,,,2016-03-28 00:00:00,2016-03-28 06:00:00
BRW,2016,3,28,7,217,1.5,100,1011.56,-25.0,-21.8,,,,2016-03-28 00:00:00,2016-03-28 07:00:00
BRW,2016,3,28,8,226,1.8,100,1011.81,-25.6,-21.7,,,,2016-03-28 00:00:00,2016-03-28 08:00:00
BRW,2016,3,28,9,243,1.8,99,1012.15,-24.6,-21.6,,,,2016-03-28 00:00:00,2016-03-28 09:00:00
BRW,2016,3,28,10,246,1.5,100,1012.34,-24.3,-21.6,,,,2016-03-28 00:00:00,2016-03-28 10:00:00
BRW,2016,3,28,11,227,1.9,100,1012.62,-26.2,-22.0,,,,2016-03-28 00:00:00,2016-03-28 11:00:00
BRW,2016,3,28,12,235,3.0,99,1012.92,-27.7,-22.2,,,,2016-03-28 00:00:00,2016-03-28 12:00:00
BRW,2016,3,28,13,249,9.6,99,1013.2,-26.1,-21.8,,,,2016-03-28 00:00:00,2016-03-28 13:00:00
BRW,2016,3,28,14,241,8.2,99,1013.68,-25.2,-21.9,,,,2016-03-28 00:00:00,2016-03-28 14:00:00
BRW,2016,3,28,15,257,8.8,97,1013.94,-25.6,-21.9,,,,2016-03-28 00:00:00,2016-03-28 15:00:00
BRW,2016,3,28,16,242,6.0,99,1014.26,-24.6,-21.9,,,,2016-03-28 00:00:00,2016-03-28 16:00:00
BRW,2016,3,28,17,233,4.3,99,1014.66,-24.2,-21.7,,,,2016-03-28 00:00:00,2016-03-28 17:00:00
BRW,2016,3,28,18,220,1.9,100,1015.11,-24.5,-21.7,,,,2016-03-28 00:00:00,2016-03-28 18:00:00
BRW,2016,3,28,19,228,3.6,99,1015.71,-22.8,-21.4,,,,2016-03-28 00:00:00,2016-03-28 19:00:00
BRW,2016,3,28,20,231,2.7,98,1016.13,-23.5,-21.4,,,,2016-03-28 00:00:00,2016-03-28 20:00:00
BRW,2016,3,28,21,243,4.1,99,1016.46,-23.5,-21.1,,,,2016-03-28 00:00:00,2016-03-28 21:00:00
BRW,2016,3,28,22,300,3.8,95,1016.84,-21.9,-20.8,,,,2016-03-28 00:00:00,2016-03-28 22:00:00
BRW,2016,3,28,23,300,3.4,88,1017.12,-22.4,-20.6,,,,2016-03-28 00:00:00,2016-03-28 23:00:00
