station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,4,21,0,87,9.3,100,1028.21,-8.5,-8.5,,,,2016-04-21 00:00:00,2016-04-21 00:00:00
BRW,2016,4,21,1,93,11.0,100,1028.4,-8.7,-8.5,,,,2016-04-21 00:00:00,2016-04-21 01:00:00
BRW,2016,4,21,2,92,10.7,100,1028.42,-9.0,-8.8,,,,2016-04-21 00:00:00,2016-04-21 02:00:00
BRW,2016,4,21,3,89,10.9,100,1028.36,-9.0,-8.7,,,,2016-04-21 00:00:00,2016-04-21 03:00:00
BRW,2016,4,21,4,90,11.1,100,1028.53,-9.3,-9.0,,,,2016-04-21 00:00:00,2016-04-21 04:00:00
BRW,2016,4,21,5,90,11.2,100,1028.71,-10.2,-9.7,,,,2016-04-21 00:00:00,2016-04-21 05:00:00
BRW,2016,4,21,6,90,10.2,100,1028.93,-10.8,-10.4,,,,2016-04-21 00:00:00,2016-04-21 06:00:00
BRW,2016,4,21,7,93,9.2,100,1029.21,-10.9,-10.6,,,,2016-04-21 00:00:00,2016-04-21 07:00:00
BRW,2016,4,21,8,95,9.4,100,1029.18,-10.8,-10.5,,,,2016-04-21 00:00:00,2016-04-21 08:00:00
BRW,2016,4,21,9,80,5.4,99,1029.02,-12.4,-11.4,,,,2016-04-21 00:00:00,2016-04-21 09:00:00
BRW,2016,4,21,10,72,5.5,100,1028.88,-13.3,-12.1,,,,2016-04-21 00:00:00,2016-04-21 10:00:00
BRW,2016,4,21,11,67,6.6,100,1028.54,-13.6,-12.4,,,,2016-04-21 00:00:00,2016-04-21 11:00:00
BRW,2016,4,21,12,68,7.8,100,1028.15,-13.4,-12.5,,,,2016-04-21 00:00:00,2016-04-21 12:00:00
BRW,2016,4,21,13,68,7.7,100,1027.85,-13.4,-12.6,,,,2016-04-21 00:00:00,2016-04-21 13:00:00
BRW,2016,4,21,14,66,7.8,100,1027.4,-13.4,-12.7,,,,2016-04-21 00:00:00,2016-04-21 14:00:00
BRW,2016,4,21,15,68,8.5,100,1026.96,-12.8,-12.4,,,,2016-04-21 00:00:00,2016-04-21 15:00:00
BRW,2016,4,21,16,69,8.6,100,1026.56,-12.0,-11.8,,,,2016-04-21 00:00:00,2016-04-21 16:00:00
BRW,2016,4,21,17,68,9.0,100,1025.94,-11.1,-11.1,,,,2016-04-21 00:00:00,2016-04-21 17:00:00
BRW,2016,4,21,18,68,9.3,100,1025.37,-10.3,-10.5,,,,2016-04-21 00:00:00,2016-04-21 18:00:00
BRW,2016,4,21,19,70,8.8,100,1024.98,-9.4,-9.6,,,,2016-04-21 00:00:00,2016-04-21 19:00:00
BRW,2016,4,21,20,79,10.7,100,1024.61,-7.6,-7.7,,,,2016-04-21 00:00:00,2016-04-21 20:00:00
BRW,2016,4,21,21,84,12.1,100,1024.14,-7.0,-7.0,,,,2016-04-21 00:00:00,2016-04-21 21:00:00
BRW,2016,4,21,22,87,13.0,100,1023.91,-6.8,-6.6,,,,2016-04-21 00:00:00,2016-04-21 22:00:00
BRW,2016,4,21,23,86,13.0,100,1023.47,-6.6,-6.3,,,,2016-04-21 00:00:00,2016-04-21 23:00:00
