station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,3,25,0,215,6.5,100,1007.13,-16.2,-16.1,,,,2016-03-25 00:00:00,2016-03-25 00:00:00
BRW,2016,3,25,1,255,4.0,93,1007.21,-16.2,-16.2,,,,2016-03-25 00:00:00,2016-03-25 01:00:00
BRW,2016,3,25,2,260,3.1,91,1007.22,-16.2,-16.2,,,,2016-03-25 00:00:00,2016-03-25 02:00:00
BRW,2016,3,25,3,242,3.2,92,1007.18,-16.2,-16.1,,,,2016-03-25 00:00:00,2016-03-25 03:00:00
BRW,2016,3,25,4,275,4.9,98,1007.16,-16.2,-16.1,,,,2016-03-25 00:00:00,2016-03-25 04:00:00
BRW,2016,3,25,5,276,6.2,99,1007.41,-16.5,-16.4,,,,2016-03-25 00:00:00,2016-03-25 05:00:00
BRW,2016,3,25,6,278,6.2,100,1007.66,-16.9,-16.7,,,,2016-03-25 00:00:00,2016-03-25 06:00:00
BRW,2016,3,25,7,280,5.6,100,1007.68,-17.0,-16.8,,,,2016-03-25 00:00:00,2016-03-25 07:00:00
BRW,2016,3,25,8,270,4.5,100,1007.9,-17.1,-16.9,,,,2016-03-25 00:00:00,2016-03-25 08:00:00
BRW,2016,3,25,9,283,3.9,95,1008.12,-17.3,-17.1,,,,2016-03-25 00:00:00,2016-03-25 09:00:00
BRW,2016,3,25,10,298,4.1,100,1008.33,-17.5,-17.3,,,,2016-03-25 00:00:00,2016-03-25 10:00:00
BRW,2016,3,25,11,300,4.0,100,1008.38,-17.6,-17.5,,,,2016-03-25 00:00:00,2016-03-25 11:00:00
BRW,2016,3,25,12,301,4.0,99,1008.31,-17.8,-17.6,,,,2016-03-25 00:00:00,2016-03-25 12:00:00
BRW,2016,3,25,13,292,3.3,97,1008.43,-18.0,-17.9,,,,2016-03-25 00:00:00,2016-03-25 13:00:00
BRW,2016,3,25,14,294,2.6,98,1008.55,-18.3,-18.2,,,,2016-03-25 00:00:00,2016-03-25 14:00:00
BRW,2016,3,25,15,303,2.6,99,1008.55,-18.7,-18.6,,,,2016-03-25 00:00:00,2016-03-25 15:00:00
BRW,2016,3,25,16,305,2.6,100,1008.32,-18.8,-18.7,,,,2016-03-25 00:00:00,2016-03-25 16:00:00
BRW,2016,3,25,17,356,2.7,90,1008.17,-19.4,-19.1,,,,2016-03-25 00:00:00,2016-03-25 17:00:00
BRW,2016,3,25,18,85,2.2,51,1008.08,-19.2,-19.1,,,,2016-03-25 00:00:00,2016-03-25 18:00:00
BRW,2016,3,25,19,76,4.2,98,1007.98,-18.9,-18.8,,,,2016-03-25 00:00:00,2016-03-25 19:00:00
BRW,2016,3,25,20,93,1.9,56,1007.84,-18.3,-18.3,,,,2016-03-25 00:00:00,2016-03-25 20:00:00
BRW,2016,3,25,21,205,2.6,100,1007.76,-18.1,-18.3,,,,2016-03-25 00:00:00,2016-03-25 21:00:00
BRW,2016,3,25,22,198,2.7,99,1007.72,-18.1,-18.3,,,,2016-03-25 00:00:00,2016-03-25 22:00:00
BRW,2016,3,25,23,182,2.7,99,1007.54,-18.1,-18.1,,,,2016-03-25 00:00:00,2016-03-25 23:00:00
