station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,4,6,0,90,11.5,100,1010.32,-13.4,-13.2,,,,2016-04-06 00:00:00,2016-04-06 00:00:00
BRW,2016,4,6,1,88,11.7,100,1010.23,-13.1,-13.0,,,,2016-04-06 00:00:00,2016-04-06 01:00:00
BRW,2016,4,6,2,88,11.3,100,1010.35,-13.3,-13.0,,,,2016-04-06 00:00:00,2016-04-06 02:00:00
BRW,2016,4,6,3,88,11.2,100,1010.33,-13.6,-13.3,,,,2016-04-06 00:00:00,2016-04-06 03:00:00
BRW,2016,4,6,4,87,11.7,100,1010.49,-13.8,-13.4,,,,2016-04-06 00:00:00,2016-04-06 04:00:00
BRW,2016,4,6,5,87,11.9,100,1010.76,-14.4,-13.9,,,,2016-04-06 00:00:00,2016-04-06 05:00:00
BRW,2016,4,6,6,87,11.9,100,1010.99,-14.9,-14.4,,,,2016-04-06 00:00:00,2016-04-06 06:00:00
BRW,2016,4,6,7,88,11.7,100,1011.42,-15.1,-14.6,,,,2016-04-06 00:00:00,2016-04-06 07:00:00
BRW,2016,4,6,8,88,11.8,100,1011.69,-15.3,-14.8,,,,2016-04-06 00:00:00,2016-04-06 08:00:00
BRW,2016,4,6,9,88,12.0,100,1011.82,-15.6,-15.1,,,,2016-04-06 00:00:00,2016-04-06 09:00:00
BRW,2016,4,6,10,88,12.2,100,1012.09,-15.7,-15.2,,,,2016-04-06 00:00:00,2016-04-06 10:00:00
BRW,2016,4,6,11,88,12.1,100,1012.38,-15.8,-15.3,,,,2016-04-06 00:00:00,2016-04-06 11:00:00
BRW,2016,4,6,12,88,12.0,100,1012.54,-15.9,-15.4,,,,2016-04-06 00:00:00,2016-04-06 12:00:00
BRW,2016,4,6,13,88,12.0,100,1012.79,-16.1,-15.6,,,,2016-04-06 00:00:00,2016-04-06 13:00:00
BRW,2016,4,6,14,87,11.7,100,1013.24,-16.3,-15.8,,,,2016-04-06 00:00:00,2016-04-06 14:00:00
BRW,2016,4,6,15,86,11.7,100,1013.6,-16.4,-15.9,,,,2016-04-06 00:00:00,2016-04-06 15:00:00
BRW,2016,4,6,16,88,12.0,100,1013.8,-16.1,-15.6,,,,2016-04-06 00:00:00,2016-04-06 16:00:00
BRW,2016,4,6,17,89,12.3,100,1014.08,-15.5,-15.1,,,,2016-04-06 00:00:00,2016-04-06 17:00:00
BRW,2016,4,6,18,90,12.8,100,1014.48,-14.9,-14.5,,,,2016-04-06 00:00:00,2016-04-06 18:00:00
BRW,2016,4,6,19,91,13.0,100,1014.82,-14.3,-14.1,,,,2016-04-06 00:00:00,2016-04-06 19:00:00
BRW,2016,4,6,20,91,13.1,100,1015.25,-13.9,-13.7,,,,2016-04-06 00:00:00,2016-04-06 20:00:00
BRW,2016,4,6,21,90,12.5,100,1015.81,-13.4,-13.3,,,,2016-04-06 00:00:00,2016-04-06 21:00:00
BRW,2016,4,6,22,89,12.4,100,1016.29,-13.2,-13.0,,,,2016-04-06 00:00:00,2016-04-06 22:00:00
BRW,2016,4,6,23,90,12.5,100,1016.52,-12.9,-12.7,,,,2016-04-06 00:00:00,2016-04-06 23:00:00
