station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,4,25,0,73,1.0,96,1017.92,-5.4,-5.3,,,,2016-04-25 00:00:00,2016-04-25 00:00:00
BRW,2016,4,25,1,74,0.9,97,1017.94,-5.4,-5.3,,,,2016-04-25 00:00:00,2016-04-25 01:00:00
BRW,2016,4,25,2,68,0.7,93,1017.92,-5.4,-5.3,,,,2016-04-25 00:00:00,2016-04-25 02:00:00
BRW,2016,4,25,3,72,0.6,62,1017.88,-5.5,-5.4,,,,2016-04-25 00:00:00,2016-04-25 03:00:00
BRW,2016,4,25,4,359,1.5,96,1017.91,-5.7,-5.5,,,,2016-04-25 00:00:00,2016-04-25 04:00:00
BRW,2016,4,25,5,353,2.0,96,1017.94,-5.9,-5.6,,,,2016-04-25 00:00:00,2016-04-25 05:00:00
BRW,2016,4,25,6,346,2.2,97,1017.86,-6.2,-5.8,,,,2016-04-25 00:00:00,2016-04-25 06:00:00
BRW,2016,4,25,7,353,2.5,99,1017.89,-6.4,-6.0,,,,2016-04-25 00:00:00,2016-04-25 07:00:00
BRW,2016,4,25,8,343,1.9,95,1017.94,-6.4,-6.1,,,,2016-04-25 00:00:00,2016-04-25 08:00:00
BRW,2016,4,25,9,354,1.6,89,1017.89,-6.6,-6.3,,,,2016-04-25 00:00:00,2016-04-25 09:00:00
BRW,2016,4,25,10,333,0.8,92,1017.83,-6.5,-6.3,,,,2016-04-25 00:00:00,2016-04-25 10:00:00
BRW,2016,4,25,11,329,0.8,72,1017.78,-6.6,-6.3,,,,2016-04-25 00:00:00,2016-04-25 11:00:00
BRW,2016,4,25,12,208,0.3,36,1017.64,-6.5,-6.4,,,,2016-04-25 00:00:00,2016-04-25 12:00:00
BRW,2016,4,25,13,210,0.3,35,1017.43,-6.7,-6.5,,,,2016-04-25 00:00:00,2016-04-25 13:00:00
BRW,2016,4,25,14,181,1.1,94,1017.47,-7.0,-6.7,,,,2016-04-25 00:00:00,2016-04-25 14:00:00
BRW,2016,4,25,15,176,0.8,74,1017.43,-7.0,-6.6,,,,2016-04-25 00:00:00,2016-04-25 15:00:00
BRW,2016,4,25,16,150,1.0,83,1017.38,-7.1,-6.7,,,,2016-04-25 00:00:00,2016-04-25 16:00:00
BRW,2016,4,25,17,121,1.9,97,1017.29,-7.1,-6.8,,,,2016-04-25 00:00:00,2016-04-25 17:00:00
BRW,2016,4,25,18,117,2.3,98,1017.39,-7.0,-6.8,,,,2016-04-25 00:00:00,2016-04-25 18:00:00
BRW,2016,4,25,19,107,2.6,99,1017.38,-6.9,-6.9,,,,2016-04-25 00:00:00,2016-04-25 19:00:00
BRW,2016,4,25,20,109,3.4,100,1017.45,-6.9,-6.9,,,,2016-04-25 00:00:00,2016-04-25 20:00:00
BRW,2016,4,25,21,100,4.2,99,1017.46,-7.0,-6.9,,,,2016-04-25 00:00:00,2016-04-25 21:00:00
BRW,2016,4,25,22,92,4.1,99,1017.37,-6.8,-6.7,,,,2016-04-25 00:00:00,2016-04-25 22:00:00
BRW,2016,4,25,23,95,4.2,99,1017.13,-6.7,-6.7,,,,2016-04-25 00:00:00,2016-04-25 23:00:00
