station,year,month,day,hour,wind_direction,wind_speed,wind_steadiness,pressure,temperature_at_2m,temperature_at_10m,temperature_at_top,relative_humidity,precipitation,date,timestamp
BRW,2016,3,21,0,53,10.6,100,1030.36,-19.5,-19.3,,,,2016-03-21 00:00:00,2016-03-21 00:00:00
BRW,2016,3,21,1,55,10.9,100,1029.74,-19.4,-19.3,,,,2016-03-21 00:00:00,2016-03-21 01:00:00
BRW,2016,3,21,2,59,9.7,100,1029.29,-19.5,-19.2,,,,2016-03-21 00:00:00,2016-03-21 02:00:00
BRW,2016,3,21,3,60,9.8,100,1028.7,-19.7,-19.3,,,,2016-03-21 00:00:00,2016-03-21 03:00:00
BRW,2016,3,21,4,62,9.8,100,1028.3,-20.0,-19.5,,,,2016-03-21 00:00:00,2016-03-21 04:00:00
BRW,2016,3,21,5,64,9.2,100,1028.09,-20.5,-20.1,,,,2016-03-21 00:00:00,2016-03-21 05:00:00
BRW,2016,3,21,6,68,8.2,100,1027.99,-21.1,-20.5,,,,2016-03-21 00:00:00,2016-03-21 06:00:00
BRW,2016,3,21,7,70,8.1,100,1027.68,-21.4,-20.8,,,,2016-03-21 00:00:00,2016-03-21 07:00:00
BRW,2016,3,21,8,69,8.0,100,1027.52,-21.5,-20.9,,,,2016-03-21 00:00:00,2016-03-21 08:00:00
BRW,2016,3,21,9,67,8.3,100,1027.22,-21.7,-21.2,,,,2016-03-21 00:00:00,2016-03-21 09:00:00
BRW,2016,3,21,10,65,8.2,100,1026.89,-22.0,-21.5,,,,2016-03-21 00:00:00,2016-03-21 10:00:00
BRW,2016,3,21,11,65,7.8,100,1026.44,-22.3,-21.8,,,,2016-03-21 00:00:00,2016-03-21 11:00:00
BRW,2016,3,21,12,65,7.1,100,1026.12,-22.6,-21.9,,,,2016-03-21 00:00:00,2016-03-21 12:00:00
BRW,2016,3,21,13,67,7.0,100,1025.94,-22.7,-22.1,,,,2016-03-21 00:00:00,2016-03-21 13:00:00
BRW,2016,3,21,14,63,6.4,100,1025.82,-23.1,-22.3,,,,2016-03-21 00:00:00,2016-03-21 14:00:00
BRW,2016,3,21,15,63,6.1,100,1025.68,-23.3,-22.3,,,,2016-03-21 00:00:00,2016-03-21 15:00:00
BRW,2016,3,21,16,63,5.9,100,1025.64,-23.4,-22.4,,,,2016-03-21 00:00:00,2016-03-21 16:00:00
BRW,2016,3,21,17,59,6.3,100,1025.52,-22.9,-22.1,,,,2016-03-21 00:00:00,2016-03-21 17:00:00
BRW,2016,3,21,18,56,6.3,100,1025.32,-22.1,-21.5,,,,2016-03-21 00:00:00,2016-03-21 18:00:00
BRW,2016,3,21,19,57,7.1,100,1025.33,-21.0,-20.6,,,,2016-03-21 00:00:00,2016-03-21 19:00:00
BRW,2016,3,21,20,65,7.2,100,1025.27,-20.1,-19.9,,,,2016-03-21 00:00:00,2016-03-21 20:00:00
BRW,2016,3,21,21,65,6.8,100,1025.43,-19.4,-19.2,,,,2016-03-21 00:00:00,2016-03-21 21:00:00
BRW,2016,3,21,22,63,7.0,100,1025.24,-18.9,-18.7,,,,2016-03-21 00:00:00,2016-03-21 22:00:00
BRW,2016,3,21,23,59,7.7,100,1024.87,-18.6,-18.3,,,,2016-03-21 00:00:00,2016-03-21 23:00:00
